date,open,high,low,close,volume,RSI,CMO,Moving Average,MACD,MACD_signal,ROC,PPO
2018-08-17,55.49,55.99,55.31,55.65,3266465.0,63.94933798177217,27.89867596354434,54.185000000000045,0.8232774243712271,0.7392084677673967,2.5617397714706946,2.2478546031885314
2018-08-20,55.97,57.7,55.86,57.42,7005795.0,71.85678254703947,43.71356509407892,54.44400000000005,0.9748270618453034,0.786332186582978,5.512679162072764,2.3053620043028045
2018-08-21,57.53,58.0298,57.44,57.6,4732310.0,72.51697620445545,45.03395240891087,54.740000000000045,1.0968123668538183,0.848428222637146,5.301645338208405,2.3157981979424727
2018-08-22,57.5,57.5,56.775,56.91,4246128.0,66.11439764618957,32.228795292379154,55.00250000000004,1.1248428779932027,0.9037111537083573,3.041825095057038,2.2798130303333277
2018-08-23,56.81,57.315,56.72,56.94,3051871.0,66.25390452022708,32.50780904045417,55.150500000000044,1.1363785448061918,0.9502446319279242,2.891217925551137,2.323476019827757
2018-08-24,56.78,57.38,56.55,57.18,3149597.0,67.40986047751556,34.8197209550311,55.286500000000046,1.1516115766989188,0.9905180208821232,4.5147139462621055,2.3198099980777176
2018-08-27,57.47,57.925,57.27,57.75,4279115.0,70.03515531669085,40.0703106333817,55.48450000000005,1.1958925951140316,1.0315929357285047,6.510512725931394,2.2727378867486223
2018-08-28,57.95,58.87,57.81,58.79,7035273.0,74.12995137935017,48.25990275870035,55.703000000000046,1.2999202580305536,1.0852584001889145,7.359386413440472,2.4220447915579415
2018-08-29,58.8,58.87,58.41,58.52,4543353.0,71.40194490980043,42.803889819600876,55.94950000000004,1.3450710451243495,1.1372209291760016,5.956907477820028,2.5824316915242083
2018-08-30,58.33,58.69,58.175,58.44,3020304.0,70.57323484889399,41.14646969778797,56.176000000000045,1.358735382076759,1.181523819756153,5.392245266005391,2.6527684716362656
2018-08-31,58.44,58.78,58.335,58.48,6076717.0,70.7559960867148,41.511992173429604,56.38700000000004,1.3571477784688,1.2166486114986825,5.085354896675653,2.819573465916756
2018-09-04,58.5,59.18,58.44,58.88,5017410.0,72.58934713256284,45.17869426512565,56.61000000000005,1.3723466898475323,1.2477882271684524,2.5426680599094365,3.017778967771979
2018-09-05,59.0,59.6,56.95,57.21,9495483.0,56.627666238036234,13.255332476072457,56.735500000000044,1.2353960171118104,1.245309785157124,-0.6770833333333393,3.00797026504407
2018-09-06,57.21,57.519,56.18,56.44,7618210.0,51.053381096383234,2.1067621927664626,56.79600000000005,1.05259539297856,1.2067669067214113,-0.8258654015111611,2.7204184136670544
2018-09-07,56.08,57.6842,55.6935,56.86,6307905.0,53.72893241369453,7.457864827389053,56.87200000000005,0.9308844151764006,1.1515904084124091,-0.14049877063575522,2.3817648263156435
2018-09-10,57.05,57.74,56.82,57.56,3894919.0,57.86308721179395,15.726174423587894,57.01450000000004,0.8807588979219858,1.0974241063143244,0.6645680307799884,2.223243359769682
2018-09-11,57.33,58.455,57.16,58.27,4717489.0,61.6097385226552,23.219477045310388,57.21700000000004,0.8880878072192786,1.0555568464953153,0.9004329004329126,2.1405876602218328
2018-09-12,58.34,58.38,57.16,57.39,5116086.0,55.07344140717429,10.146882814348574,57.348500000000044,0.813509741201834,1.007147425436619,-2.381357373703008,1.9658791406098781
2018-09-13,57.39,58.25,57.39,57.82,3568372.0,57.448983996059425,14.897967992118847,57.478000000000044,0.7801108605191942,0.9617401124531341,-1.1961722488038284,1.761040307404776
2018-09-14,57.76,58.325,57.63,57.93,3449325.0,58.05992293373211,16.119845867464214,57.60200000000005,0.7538284228274534,0.920157774527998,-0.8726899383983522,1.4498622124742229
2018-09-17,57.79,58.355,57.79,57.96,3944555.0,58.23604054625468,16.472081092509363,57.717500000000044,0.7270392944612496,0.8815340785146483,-0.8891928864569021,1.1890566368226008
2018-09-18,57.87,58.295,56.92,57.83,3747043.0,57.11674747655555,14.233494953111114,57.738000000000035,0.6873949426705082,0.8427062513458202,-1.7832880434782705,0.8879611515598055
2018-09-19,57.86,58.27,57.7484,57.9,3423040.0,57.58942559774446,15.178851195488924,57.75300000000004,0.6540850380746761,0.8049820086915914,1.2060828526481382,0.5547098363479807
2018-09-20,58.2,58.46,57.9,58.13,3448081.0,59.181450407505956,18.362900815011894,57.81400000000004,0.6388811522736688,0.7717618374080069,2.9943302622253753,0.2192424870977153
2018-09-21,58.44,60.23,58.39,59.61,11936294.0,67.60772627445925,35.21545254891851,57.94750000000003,0.7377512571045202,0.7649597213473095,4.836440379880402,0.27330789279415574
2018-09-24,59.16,59.16,57.1332,57.41,6639974.0,50.81516059063368,1.6303211812673677,57.95900000000004,0.631307592717242,0.738229295621296,-0.2605976372480945,0.2823898868221964
2018-09-25,57.44,57.55,56.405,57.1,4635460.0,48.969425247178464,-2.061149505643071,57.92650000000003,0.515987826115051,0.693781001720047,-2.0078942852239656,0.22021349060039525
2018-09-26,57.4,57.95,57.18,57.51,5306736.0,51.47961861733407,2.959237234668142,57.86250000000003,0.4524639311860952,0.6455175876132566,0.2090956612650352,0.20699937434297577
2018-09-27,57.82,58.58,57.82,58.0,3897844.0,54.36855417700287,8.73710835400573,57.836500000000036,0.4366265328094414,0.6037393766524936,0.31131096506398226,0.14140083310067897
2018-09-28,58.0,58.27,57.54,57.83,4642451.0,53.18539397161837,6.370787943236718,57.806000000000026,0.40568126020311723,0.5641277533626183,-0.17262213015708516,0.14353101821705952
2018-10-01,57.99,58.14,56.32,56.6,5840009.0,45.47450235647105,-9.05099528705788,57.712000000000025,0.27869358211892603,0.5070409191138798,-2.346445824706689,-0.009644805108162596
